running_id,10km,17km,gross_time,net_time
8557,00:42:05,01:12:25,01:29:24,01:28:59
7561,00:41:09,01:11:57,01:29:12,01:29:02
8300,00:39:50,01:11:16,01:29:08,01:29:02
6119,00:41:51,01:12:21,01:29:35,01:29:05
449,00:42:01,01:12:15,01:29:12,01:29:06
8765,00:41:40,01:12:23,01:32:19,01:29:07
4943,00:42:10,01:12:33,01:29:14,01:29:09
3455,00:41:49,01:12:38,01:29:16,01:29:11
7150,00:42:10,01:12:30,01:29:31,01:29:11
3430,00:42:10,01:12:29,01:29:32,01:29:13
34,00:41:20,01:12:26,01:29:22,01:29:14
4500,00:41:53,01:12:29,01:29:33,01:29:14
8167,00:42:27,01:12:49,01:29:19,01:29:15
8542,00:42:06,01:12:34,01:29:30,01:29:16
6044,00:42:09,01:12:38,01:29:39,01:29:16
1213,00:42:13,01:12:41,01:29:32,01:29:17
2243,00:42:06,01:12:31,01:29:42,01:29:19
2545,00:41:46,01:12:18,01:29:29,01:29:20
162,00:41:23,01:12:22,01:29:30,01:29:20
1978,00:42:10,01:12:28,01:29:39,01:29:23
5608,00:41:26,01:12:18,01:29:46,01:29:23
5335,00:42:06,01:13:04,01:29:46,01:29:27
473,00:42:01,01:12:28,01:29:50,01:29:28
4993,00:43:14,01:13:38,01:31:01,01:29:29
7500,00:42:15,01:12:33,01:29:49,01:29:35
5270,00:40:05,01:11:51,01:29:44,01:29:36
486,00:41:35,01:12:44,01:29:43,01:29:39
2555,00:42:17,01:12:46,01:29:53,01:29:40
7501,00:42:18,01:12:45,01:29:56,01:29:41
5780,00:41:31,01:12:35,01:29:58,01:29:46
5359,00:41:36,01:12:22,01:30:14,01:29:49
6130,00:42:16,01:12:48,01:30:05,01:29:50
2600,00:43:05,01:13:39,01:30:03,01:29:50
1825,00:41:53,01:12:44,01:29:57,01:29:52
4739,00:42:20,01:13:13,01:30:02,01:29:55
780,00:42:19,01:13:03,01:30:11,01:29:55
5954,00:41:41,01:12:46,01:30:08,01:29:56
4663,00:42:08,01:12:38,01:30:21,01:30:01
4249,00:41:01,01:12:28,01:30:26,01:30:12
2435,00:42:39,01:13:12,01:30:50,01:30:16
952,00:42:09,01:12:56,01:31:00,01:30:19
8512,00:42:38,01:13:19,01:30:40,01:30:20
5204,00:41:22,01:12:48,01:30:29,01:30:22
5271,00:39:32,01:12:51,01:30:31,01:30:25
9263,00:41:05,01:12:36,01:30:52,01:30:28
8279,00:42:48,01:13:36,01:30:59,01:30:28
7261,00:42:12,01:12:48,01:30:52,01:30:29
5565,00:42:06,01:12:55,01:30:58,01:30:32
6882,00:41:39,01:13:14,01:30:37,01:30:33
3716,00:42:47,01:13:36,01:31:13,01:30:35
3874,00:42:36,01:14:02,01:31:02,01:30:36
8615,00:40:56,01:12:53,01:30:55,01:30:39
5591,00:41:44,01:13:06,01:31:07,01:30:55
3437,00:42:12,01:13:58,01:31:19,01:31:02
5388,00:42:12,01:13:34,01:31:16,01:31:04
4693,00:42:34,01:13:31,01:31:29,01:31:05
1694,00:40:55,01:12:48,01:31:18,01:31:13
2901,00:42:30,01:14:19,01:31:56,01:31:18
7161,00:42:24,01:13:37,01:31:48,01:31:29
7136,00:43:14,01:15:06,01:32:00,01:31:31
8881,00:41:41,01:12:07,01:31:52,01:31:32
1150,00:42:57,01:14:44,01:32:04,01:31:32
8619,00:41:26,01:13:20,01:31:45,01:31:36
7344,00:42:52,01:14:55,01:32:15,01:31:42
2549,00:42:58,01:14:33,01:32:17,01:31:43
106,00:42:31,01:14:07,01:32:08,01:31:46
8551,00:43:04,01:14:16,01:32:31,01:31:48
3635,00:42:34,01:14:13,01:32:42,01:31:49
8580,00:41:57,01:14:19,01:31:55,01:31:49
3654,00:42:34,01:14:16,01:35:05,01:31:51
8752,00:45:20,01:15:22,01:33:31,01:31:51
8790,00:42:00,01:13:43,01:32:09,01:31:54
4717,00:42:22,01:13:46,01:32:26,01:31:55
2322,00:43:42,01:15:15,01:32:25,01:31:55
4081,00:43:14,01:14:34,01:35:21,01:31:58
4887,00:42:07,01:12:34,01:32:25,01:31:59
2602,00:42:15,01:15:03,01:32:18,01:32:03
8967,00:44:09,01:15:06,01:32:56,01:32:05
4158,00:44:56,01:15:14,01:48:06,01:32:08
4238,00:42:08,01:13:39,01:32:35,01:32:09
3827,00:43:25,01:15:21,01:32:39,01:32:14
9835,00:42:18,01:14:27,01:32:30,01:32:14
5129,00:43:33,01:15:24,01:36:33,01:32:15
2056,00:43:47,01:15:11,01:35:36,01:32:15
4159,00:42:26,01:14:22,01:32:19,01:32:16
5649,00:44:16,01:15:40,01:33:52,01:32:18
2603,00:44:20,01:15:31,01:36:07,01:32:20
8840,00:42:30,01:14:30,01:32:45,01:32:24
5355,00:42:58,01:14:48,01:35:47,01:32:24
3196,00:42:15,01:14:18,01:32:34,01:32:24
9078,00:43:52,01:15:03,01:32:52,01:32:29
617,00:42:45,01:14:44,01:32:52,01:32:29
8250,00:46:33,01:16:48,01:37:28,01:32:29
2257,00:42:19,01:13:55,01:32:49,01:32:34
8946,00:43:41,01:15:13,01:33:13,01:32:37
2601,00:43:12,01:14:41,01:32:55,01:32:38
8854,00:41:54,01:15:23,01:33:10,01:32:39
8625,00:44:03,01:15:12,01:32:52,01:32:40
9173,00:42:34,01:14:42,01:32:55,01:32:40
5330,00:43:52,01:15:34,01:33:08,01:32:44
1739,00:43:06,01:15:09,01:32:54,01:32:46
6031,00:42:22,01:14:55,01:33:04,01:32:50
6185,00:44:23,01:15:57,01:33:29,01:32:51
806,00:43:18,01:15:43,01:33:32,01:32:51
