running_id,10km,17km,gross_time,net_time
4670,00:41:51,01:12:10,01:29:14,01:29:01
1318,00:42:01,01:12:13,01:29:15,01:29:02
5908,00:41:53,01:12:10,01:29:15,01:29:03
742,00:41:45,01:12:11,01:29:29,01:29:03
7276,00:42:11,01:12:31,01:29:23,01:29:03
3305,00:41:05,01:11:11,01:29:26,01:29:07
7049,00:41:48,01:12:09,01:29:31,01:29:07
3092,00:39:47,01:12:04,01:29:28,01:29:07
1990,00:41:34,01:12:08,01:29:21,01:29:08
2543,00:42:13,01:12:32,01:29:25,01:29:10
4191,00:42:11,01:12:27,01:29:27,01:29:11
2965,00:42:10,01:12:27,01:29:28,01:29:13
10821,00:42:08,01:12:42,01:29:18,01:29:15
4691,00:42:20,01:12:14,01:29:43,01:29:15
553,00:42:11,01:12:27,01:29:33,01:29:16
2404,00:42:21,01:12:37,01:29:23,01:29:17
693,00:42:03,01:12:15,01:29:35,01:29:17
791,00:42:18,01:12:35,01:29:27,01:29:18
6153,00:42:10,01:12:30,01:29:38,01:29:18
2204,00:41:51,01:12:18,01:29:36,01:29:19
6740,00:42:09,01:12:26,01:29:36,01:29:20
896,00:42:13,01:12:36,01:29:37,01:29:21
10697,00:41:55,01:12:26,01:29:27,01:29:21
4394,00:42:24,01:12:44,01:29:48,01:29:21
10753,00:41:42,01:12:43,01:29:25,01:29:23
2446,00:42:05,01:12:42,01:30:09,01:29:24
1590,00:42:14,01:12:31,01:29:39,01:29:26
5814,00:42:44,01:12:38,01:38:09,01:29:26
5246,00:42:01,01:12:25,01:29:51,01:29:26
7272,00:41:34,01:11:54,01:30:27,01:29:26
7965,00:42:17,01:12:41,01:29:51,01:29:29
5190,00:42:11,01:12:24,01:29:40,01:29:32
10939,00:41:10,01:12:19,01:29:38,01:29:33
10657,00:42:00,01:12:21,01:30:01,01:29:33
1658,00:42:13,01:12:31,01:29:50,01:29:33
652,00:40:39,01:11:36,01:29:45,01:29:35
6360,00:42:13,01:12:29,01:29:52,01:29:39
509,00:43:01,01:13:12,01:30:09,01:29:39
6775,00:42:14,01:12:28,01:29:57,01:29:39
6359,00:42:14,01:12:30,01:29:52,01:29:40
2572,00:42:09,01:12:30,01:35:20,01:29:43
913,00:42:14,01:12:31,01:30:01,01:29:48
10987,00:42:18,01:12:48,01:30:03,01:29:48
5087,00:40:30,01:10:40,01:30:05,01:29:50
1061,00:42:37,01:12:59,01:30:53,01:29:52
10559,00:42:16,01:13:29,01:30:00,01:29:52
103,00:41:54,01:12:34,01:30:04,01:29:53
6763,00:41:54,01:12:34,01:30:28,01:29:54
3521,00:42:00,01:12:36,01:30:07,01:29:56
2246,00:41:49,01:12:36,01:30:19,01:29:56
3253,00:43:03,01:13:26,01:30:28,01:29:56
10974,00:41:03,01:12:22,01:30:06,01:29:58
10988,00:41:44,01:12:29,01:30:19,01:30:02
6997,00:42:43,01:13:28,01:30:46,01:30:08
4841,00:42:00,01:12:19,01:30:38,01:30:09
5594,00:40:55,01:12:13,01:30:18,01:30:10
6496,00:42:11,01:12:29,01:30:28,01:30:11
5762,00:42:07,01:12:51,01:30:29,01:30:15
10592,00:42:09,01:12:35,01:30:25,01:30:15
11051,00:41:54,01:12:55,01:30:35,01:30:20
6562,00:42:27,01:13:14,01:30:37,01:30:22
10173,00:42:29,01:13:35,01:30:37,01:30:24
10526,00:41:49,01:12:58,01:30:38,01:30:25
1257,00:42:14,01:13:10,01:30:39,01:30:26
5548,00:42:07,01:12:53,01:30:45,01:30:27
4175,00:42:09,01:12:45,01:30:47,01:30:28
571,00:42:35,01:13:31,01:31:12,01:30:29
7300,00:43:06,01:13:55,01:30:58,01:30:31
5582,00:42:41,01:13:41,01:31:00,01:30:31
5009,00:42:28,01:13:26,01:31:18,01:30:34
10881,00:41:20,01:12:40,01:30:52,01:30:35
7929,00:42:03,01:13:25,01:30:59,01:30:37
6054,00:42:25,01:13:17,01:30:53,01:30:37
2457,00:42:01,01:13:12,01:31:06,01:30:41
10332,00:42:01,01:12:36,01:31:00,01:30:43
672,00:42:05,01:13:05,01:30:54,01:30:43
11039,00:42:25,01:13:25,01:31:02,01:30:44
2864,00:42:27,01:13:25,01:31:23,01:30:45
5135,00:41:54,01:12:45,01:30:51,01:30:46
6192,00:41:54,01:13:05,01:35:54,01:30:49
5405,00:42:58,01:13:49,01:31:32,01:30:50
4487,00:42:15,01:13:10,01:31:09,01:30:50
10752,00:42:24,01:13:00,01:30:52,01:30:50
5653,00:42:16,01:13:34,01:31:01,01:30:54
10460,00:42:14,01:13:04,01:31:08,01:30:55
7956,00:42:13,01:13:24,01:31:12,01:30:56
10704,00:43:14,01:14:16,01:31:05,01:31:00
5956,00:43:31,01:14:03,01:31:54,01:31:01
10139,00:42:15,01:13:07,01:31:19,01:31:06
1931,00:42:22,01:14:01,01:31:21,01:31:11
5180,00:42:23,01:14:03,01:31:32,01:31:12
2501,00:42:06,01:13:33,01:31:26,01:31:13
5236,00:42:20,01:13:40,01:31:24,01:31:16
6440,00:42:13,01:13:40,01:31:30,01:31:17
1793,00:42:43,01:14:19,01:32:01,01:31:18
6191,00:43:11,01:14:13,01:32:03,01:31:20
2165,00:42:49,01:14:02,01:31:59,01:31:22
3622,00:42:28,01:13:57,01:31:44,01:31:23
7065,00:42:15,01:13:54,01:31:40,01:31:26
340,00:43:36,01:14:44,01:36:08,01:31:27
5650,00:43:11,01:14:19,01:31:35,01:31:27
10208,00:42:23,01:14:06,01:31:40,01:31:27
2661,00:44:13,01:14:45,01:31:54,01:31:32
3034,00:42:14,01:13:18,01:31:45,01:31:32
4688,00:43:51,01:15:19,01:31:42,01:31:33
7285,00:42:56,01:14:24,01:32:25,01:31:35
2394,00:41:38,01:13:08,01:31:51,01:31:38
10348,00:42:43,01:14:25,01:32:46,01:31:41
6701,00:41:14,01:13:11,01:31:52,01:31:41
1211,00:43:56,01:15:06,01:32:21,01:31:43
5397,00:42:21,01:14:06,01:32:23,01:31:50
6561,00:43:07,01:14:29,01:32:15,01:31:50
2588,00:43:22,01:14:27,01:32:17,01:31:56
4389,00:43:09,01:14:32,01:32:37,01:31:58
